contract_name;ID_duplicate_contract
NoApprove-102-2;False
NoUnderflow-109-19;False
BECTokenFixed-109-34;False
TokenERC721-115-2;False
SplitReentrancyFixed-113-1;False
BECTokenFixed-113-1;False
NoIntegerSignednessError-110-1;False
NoShortAddressAttack-107-1;False
BECTokenFixed-105-1;False
PoWHCFixed-110-1;False
BECTokenFixed-118-3;False
MDTCrowdsaleFixed-105-1;False
BECTokenFixed-109-50;False
NoBadDelegate-115-1;False
NoApprove-102-3;False
TransactionMalleablityFixed-109-19;False
NoApprove-105-1;False
NoUnhandledException2-105-1;False
NoWriteStorage-0-0;False
SingelNoHashCollision-102-3;False
NoIntegerSignednessError-0-0;False
NoUnhandledException2-104-1;False
NoFunctionTypes-0-0;False
GovernmentFixed-102-6;False
ModifierEntrancyFixed-105-1;False
NoGuessTheNumber-104-2;False
PoWHCFixed-108-76;False
GovernmentFixed-113-1;False
TokenERC721-102-4;False
PoWHCFixed-108-75;False
PoWHCFixed-107-1;False
NoDangerousRandomNumbers-106-1;False
NoUninitStorage-107-1;False
NoComplexFallback-0-0;False
PoWHCFixed-111-2;False
NoVarIsNotSafe-0-0;False
NoPublicToExternal1-105-2;False
NoRevertError-106-1;False
NoImplicitVisibility-103-6;False
NoBobAnswer-106-1;False
NoComplexFallback-102-1;False
SingelNoHashCollision2-0-0;False
NoWriteStorage-115-1;False
NoReentranceByTransfer-0-0;False
NoReplayAttack-109-22;False
OpenAddressLotteryFixed-107-1;False
NoUnhandledException1-104-1;False
NoSuicideEasily-106-1;False
NoUnderflow-107-3;False
NoPublicToExternal-106-1;False
NoDeleteDynamicArray-102-2;False
SingelNoHashCollision-0-0;False
NoUnhandledException1-106-1;False
NoIntegerSignednessError-105-1;False
MultiOwnableFixed-0-0;False
TokenERC721-107-4;False
NoDangerousRandomNumbers-0-0;False
NoUnderflow-107-2;False
PoWHCFixed-102-21;False
NoWrongOpe-104-1;False
NoVarIsNotSafe-104-1;False
NoImmutableToConstant-105-1;False
NoGuessTheNumber-106-1;False
NoUninitStorage-101-1;False
NoBobAnswer-113-1;False
NoUnderflow-102-4;False
NoReplayAttack-102-1;False
NoRevertError-113-1;False
GovernmentFixed-115-1;False
NoPublicToExternal1-105-1;False
MDTCrowdsaleFixed-104-6;False
MDTCrowdsaleFixed-104-3;False
NoWrongOpe-106-1;False
BECTokenFixed-102-5;False
OddEvenFixed-0-0;False
NoImmutableToConstant-115-1;False
OpenAddressLotteryFixed-106-1;False
PoWHCFixed-107-12;False
NoPublicToExternal-111-2;False
NoDangerousRandomNumbers-111-2;False
NoDeprecated-102-1;False
TokenERC721-102-6;False
NoDeleteDynamicArray-115-1;False
BECTokenFixed-118-5;False
NoBobAnswer-104-2;False
NoWrongOpe-105-1;False
NoDeleteDynamic-111-1;False
TransactionMalleablityFixed-109-22;False
NoDeprecated-109-1;False
NoDeprecated-0-0;False
MDTCrowdsaleFixed-102-11;False
NoUnhandledException1-0-0;False
MDTCrowdsaleFixed-107-3;False
NoIntegerSignednessError-109-2;False
NoShortAddressAttack-102-2;False
NoUninitStorage-103-1;False
TransactionMalleablityFixed-106-1;False
SingelNoHashCollision-102-1;False
GovernmentFixed-0-0;False
GovernmentFixed-106-1;False
NoBadProxy-113-1;False
NoShortAddressAttack-107-3;False
OpenAddressLotteryFixed-109-7;False
NoUninitStateVar-104-2;False
NoPublicToExternal1-104-1;False
TransactionMalleablityFixed-109-17;False
EtherpotFixed-107-1;False
WalletFixedConstructor-106-1;False
TokenERC721-107-3;False
TokenERC721-105-2;False
TransactionMalleablityFixed-115-1;False
NoDangerousRandomNumbers-111-3;False
NoImmutableToConstant-102-1;False
TokenERC721-117-1;False
TransactionMalleablityFixed-102-2;False
SplitReentrancyFixed-104-1;False
NoPublicToExternal1-104-2;False
NoApprove-107-1;False
NoUnhandledException1-102-1;False
NoPublicToExternal1-115-2;False
NoPreSentEther-105-1;False
NoComplexFallback-106-1;False
MultiOwnableFixed-113-2;False
NoDeprecated-109-3;False
NoPreSentEther-104-1;False
NoBadDelegate-0-0;False
NoDeleteDynamic-115-1;False
PoWHCFixed-102-17;False
TokenERC20-107-1;False
OddEvenFixed-102-1;False
PoWHCFixed-112-1;False
NoIntegerSignednessError-106-1;False
BECTokenFixed-102-3;False
PoWHCFixed-117-3;False
EtherpotFixed-107-2;False
MDTCrowdsaleFixed-104-1;False
NoWriteStorage-105-1;False
PoWHCFixed-117-2;False
NoReplayAttack-105-1;False
BECTokenFixed-0-0;False
NoUnhandledException2-115-1;False
NoDeprecated-105-1;False
NoDangerousRandomNumbers-111-1;False
EtherpotFixed-107-3;False
SingelNoHashCollision-106-1;False
EtherpotFixed-102-12;False
PoWHCFixed-105-1;False
NoWrongOpe-104-2;False
NoImmutableToConstant-107-1;False
NoPrivateModifier-0-0;False
NoPublicToExternal-111-1;False
TokenERC721-102-9;False
NoDeprecated-104-1;False
NoComplexFallback-104-1;False
NoUnhandledException2-106-1;False
NoShortAddressAttack-109-19;False
EtherpotFixed-106-1;False
NoBadProxy-104-2;False
NoUnderflow-0-0;False
NoBadProxy-106-1;False
RelayerFixed-109-5;False
NoDeleteDynamic-106-1;False
PoWHCFixed-102-20;False
NoPublicToExternal1-111-2;False
MDTCrowdsaleFixed-118-3;False
NoReplayAttack-104-1;False
BECTokenFixed-109-37;False
NoUnderflow-107-1;False
NoShortAddressAttack-106-1;False
NoVarIsNotSafe-104-2;False
GovernmentFixed-104-1;False
NoApprove-102-4;False
PoWHCFixed-107-5;False
NoApprove-109-1;False
TokenERC20-104-2;False
MDTCrowdsaleFixed-115-1;False
TokenERC721-106-1;False
PoWHCFixed-109-41;False
OpenAddressLotteryFixed-113-1;False
OpenAddressLotteryFixed-103-1;False
WalletFixed-0-0;False
PoWHCFixed-107-9;False
MDTCrowdsaleFixed-113-1;False
NoComplexFallback-105-1;False
NoImplicitVisibility-109-1;False
SingelNoHashCollision2-102-5;False
MDTCrowdsaleFixed-102-2;False
NoRevertError-115-1;False
TokenERC721-117-2;False
BECTokenFixed-104-3;False
TokenERC20-104-4;False
MDTCrowdsaleFixed-107-2;False
BECTokenFixed-102-4;False
MDTCrowdsaleFixed-109-18;False
TokenERC721-0-0;False
EtherpotFixed-109-48;False
NoUnhandledException2-0-0;False
TokenERC20-105-1;False
NoUninitStateVar-0-0;False
PoWHCFixed-111-5;False
SpankChainFixed-104-5;False
NoUninitStateVar-104-1;False
NoImmutableToConstant-0-0;False
MultiOwnableFixed-115-1;False
NoUnderflow-102-1;False
NoApprove-102-1;False
NoRevertError-0-0;False
SingelNoHashCollision2-102-1;False
SingelNoHashCollision2-102-3;False
NoRevertError-104-1;False
PoWHCFixed-107-11;False
TransactionMalleablityFixed-105-1;False
NoLockedMoney1-113-1;False
NoPrivateModifier-106-1;False
NoVarIsNotSafe-105-1;False
NoSuicideEasily-105-1;False
WalletFixed-105-1;False
MultiOwnableFixed-106-1;False
NoReentranceByTransfer-116-1;False
PoWHCFixed-117-7;False
PoWHCFixed-106-1;False
NoIntegerSignednessError-113-1;False
NoUnhandledException2-102-4;False
NoReplayAttack-102-2;False
OddEvenFixed-111-1;False
NoLockedMoney1-0-0;False
NoFunctionTypes-115-1;False
NoImplicitVisibility-106-1;False
NoDeleteDynamicArray-104-1;False
NoReplayAttack-109-19;False
BECTokenFixed-109-17;False
NoSuicideEasily-0-0;False
NoUnderflow-109-24;False
BECTokenFixed-105-2;False
NoVarIsNotSafe-111-1;False
NoPublicToExternal-104-2;False
GovernmentFixed-102-3;False
NoBadProxy-104-1;False
BECTokenFixed-109-38;False
NoReplayAttack-106-1;False
PoWHCFixed-107-8;False
NoFunctionTypes-106-1;False
NoImplicitVisibility-117-1;False
BECTokenFixed-107-4;False
BECTokenFixed-103-2;False
NoDangerousRandomNumbers-102-1;False
NoShortAddressAttack-107-4;False
MDTCrowdsaleFixed-118-1;False
EtherpotFixed-117-1;False
NoGuessTheNumber-105-1;False
SpankChainFixed-103-1;False
WalletFixed-113-1;False
GovernmentFixed-102-8;False
WalletFixedConstructor-104-1;False
