ABTokenTransfer-45-12.sol;185;address internal petCardDataContract = 0xB340686da996b8B3d486b4D27E38E38500A9E926;
ABTokenTransfer-45-13.sol;187;address internal accessoryDataContract = 0x466c44812835f57b736ef9F63582b8a6693A14D0;
ABTokenTransfer-45-14.sol;189;address internal ABTokenDataContract = 0xDC32FF5aaDA11b5cE3CAf2D00459cfDA05293F96;
ABTokenTransfer-45-2.sol;15;uint16 internal totalSeraphims = 0;
ABTokenTransfer-45-3.sol;17;mapping(address => bool) internal seraphims;
ABTokenTransfer-45-4.sol;19;bool internal isMaintenanceMode = true;
ABTokenTransfer-45-5.sol;111;uint8 internal totalPetCardSeries;
ABTokenTransfer-45-6.sol;113;uint64 internal totalPets;
ABTokenTransfer-45-7.sol;134;uint8 internal totalAngelCardSeries;
ABTokenTransfer-45-8.sol;136;uint64 internal totalAngels;
ABTokenTransfer-45-9.sol;161;uint8 internal totalAccessorySeries;
ABTokenTransfer-46-1.sol;83;function _exists(uint256 tokenId) public view returns (bool) ;
ABTokenTransfer-46-10.sol;106;function _clearApproval(uint256 tokenId) public ;
ABTokenTransfer-46-11.sol;120;function addPetIdMapping(address _owner, uint64 _petId) public ;
ABTokenTransfer-46-12.sol;145;function addAngelIdMapping(address _owner, uint64 _angelId) public ;
ABTokenTransfer-46-13.sol;167;function addAccessoryIdMapping(address _owner, uint64 _accessoryId) public ;
ABTokenTransfer-46-2.sol;84;function _isApprovedOrOwner(address spender, uint256 tokenId) public view returns (bool) ;
ABTokenTransfer-46-3.sol;85;function _mint(address to, uint256 tokenId) public ;
ABTokenTransfer-46-4.sol;87;function addABTokenIdMapping(address _owner, uint256 _tokenId) public ;
ABTokenTransfer-46-5.sol;92;function getAngelPower(uint8 _angelSeriesId) public view returns (uint16) ;
ABTokenTransfer-46-6.sol;102;function _burn(address owner, uint256 tokenId) public ;
ABTokenTransfer-46-7.sol;103;function _burn(uint256 tokenId) public ;
ABTokenTransfer-46-8.sol;104;function _transferFrom(address from, address to, uint256 tokenId) public ;
ABTokenTransfer-46-9.sol;105;function _checkOnERC721Received(address from, address to, uint256 tokenId, bytes memory _data) public returns (bool) ;
ABTokenTransfer-5-1.sol;37;}
ABTokenTransfer-6-1.sol;15;uint16 public totalSeraphims;
ABTokenTransfer-6-2.sol;19;bool public isMaintenanceMode;
ABTokenTransfer-6-3.sol;183;address public angelCardDataContract;
ABTokenTransfer-6-4.sol;185;address public petCardDataContract;
ABTokenTransfer-6-5.sol;187;address public accessoryDataContract;
ABTokenTransfer-6-6.sol;189;address public ABTokenDataContract;
ABTokenTransfer-9-1.sol;36;function accesscontrol() public {
AMNToken-1-1.sol;151;}
AMNToken-10-1.sol;143;string public name = 'Amon';
AMNToken-10-2.sol;145;string public symbol = 'AMN';
AMNToken-10-3.sol;147;uint8 public decimals = 18;
AMNToken-10-4.sol;149;uint256 public INITIAL_SUPPLY = (((1.6 * (10 ** 9))) * ((uint256(10) ** decimals)));
AMNToken-12-1.sol;9;if ((int(a) == 0)) {
AMNToken-17-1.sol;12;uint256 c = (a / b);
AMNToken-17-2.sol;18;uint256 c = (a * b);
AMNToken-17-3.sol;28;uint256 c = (a - b);
AMNToken-2-1.sol;1;/** @title SafeMath
AMNToken-23-1.sol;9;{
AMNToken-28-1.sol;65;balances[msg.sender] = balances[msg.sender].sub(_value);
